"filename", "language", "JavaScript", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\deletedClientsService.js", "JavaScript", 39, 0, 0, 0, 4, 43
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\employeeService.js", "JavaScript", 102, 0, 0, 1, 13, 116
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\loginService.js", "JavaScript", 54, 0, 0, 1, 7, 62
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\ltvService.js", "JavaScript", 14, 0, 0, 1, 4, 19
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\messageService.js", "JavaScript", 19, 0, 0, 1, 3, 23
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\npsService.js", "JavaScript", 46, 0, 0, 0, 7, 53
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\planService.js", "JavaScript", 43, 0, 0, 1, 6, 50
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\preBriefingService.js", "JavaScript", 27, 0, 0, 0, 7, 34
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\services\propostaService.js", "JavaScript", 43, 0, 0, 1, 6, 50
"Total", "-", 683, 14487, 1, 246, 722, 16139
